Code,displ,country,tushare-code,cat,DBFile,TblName
000541.SZ,,CHN,,,D:\PythonSpace\Dasboard_Quant\00_database\MyQuantCN00.db,STOCKS_CN00
000543.SZ,,CHN,,,D:\PythonSpace\Dasboard_Quant\00_database\MyQuantCN00.db,STOCKS_CN00
000544.SZ,,CHN,,,D:\PythonSpace\Dasboard_Quant\00_database\MyQuantCN00.db,STOCKS_CN00
000545.SZ,,CHN,,,D:\PythonSpace\Dasboard_Quant\00_database\MyQuantCN00.db,STOCKS_CN00
000546.SZ,,CHN,,,D:\PythonSpace\Dasboard_Quant\00_database\MyQuantCN00.db,STOCKS_CN00
000547.SZ,,CHN,,,D:\PythonSpace\Dasboard_Quant\00_database\MyQuantCN00.db,STOCKS_CN00
000548.SZ,,CHN,,,D:\PythonSpace\Dasboard_Quant\00_database\MyQuantCN00.db,STOCKS_CN00
000550.SZ,,CHN,,,D:\PythonSpace\Dasboard_Quant\00_database\MyQuantCN00.db,STOCKS_CN00
000551.SZ,,CHN,,,D:\PythonSpace\Dasboard_Quant\00_database\MyQuantCN00.db,STOCKS_CN00
000552.SZ,,CHN,,,D:\PythonSpace\Dasboard_Quant\00_database\MyQuantCN00.db,STOCKS_CN00
000553.SZ,,CHN,,,D:\PythonSpace\Dasboard_Quant\00_database\MyQuantCN00.db,STOCKS_CN00
000554.SZ,,CHN,,,D:\PythonSpace\Dasboard_Quant\00_database\MyQuantCN00.db,STOCKS_CN00
000555.SZ,,CHN,,,D:\PythonSpace\Dasboard_Quant\00_database\MyQuantCN00.db,STOCKS_CN00
000557.SZ,,CHN,,,D:\PythonSpace\Dasboard_Quant\00_database\MyQuantCN00.db,STOCKS_CN00
000558.SZ,,CHN,,,D:\PythonSpace\Dasboard_Quant\00_database\MyQuantCN00.db,STOCKS_CN00
000559.SZ,,CHN,,,D:\PythonSpace\Dasboard_Quant\00_database\MyQuantCN00.db,STOCKS_CN00
000560.SZ,,CHN,,,D:\PythonSpace\Dasboard_Quant\00_database\MyQuantCN00.db,STOCKS_CN00
